Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	Peak Freq (Hz)	High Freq (Hz)	Delta Time (s)	File Offset (s)	Begin Path	Begin File	Class	Sound type	Comments
136	Spectrogram 1	1	241.276461476	241.424244522	32.4	35.2	446.6	0.148	241.276	E:\RCA_In\Oct17_Dec3_2018\67674121\67674121.181018013806.wav	67674121.181018013806.wav	fish	knock	
137	Spectrogram 1	1	241.784465697	241.923012302	19.4	20.5	459.5	0.139	241.784	E:\RCA_In\Oct17_Dec3_2018\67674121\67674121.181018013806.wav	67674121.181018013806.wav	fish	knock	
138	Spectrogram 1	1	242.153923312	242.301706358	25.9	29.3	446.6	0.148	242.154	E:\RCA_In\Oct17_Dec3_2018\67674121\67674121.181018013806.wav	67674121.181018013806.wav	fish	knock	
139	Spectrogram 1	1	243.160695312	243.280769037	25.9	26.4	420.7	0.120	243.161	E:\RCA_In\Oct17_Dec3_2018\67674121\67674121.181018013806.wav	67674121.181018013806.wav	fish	knock	
140	Spectrogram 1	1	243.604044450	243.733354616	25.9	35.2	423.9	0.129	243.604	E:\RCA_In\Oct17_Dec3_2018\67674121\67674121.181018013806.wav	67674121.181018013806.wav	fish	knock	
141	Spectrogram 1	1	241.553554687	241.765992816	16.2	20.5	113.3	0.212	241.554	E:\RCA_In\Oct17_Dec3_2018\67674121\67674121.181018013806.wav	67674121.181018013806.wav	fish	grunt	
142	Spectrogram 1	1	244.458422683	244.615442170	29.4	38.1	437.9	0.157	244.458	E:\RCA_In\Oct17_Dec3_2018\67674121\67674121.181018013806.wav	67674121.181018013806.wav	fish	knock	
143	Spectrogram 1	1	248.310018319	248.439328484	32.7	35.2	415.0	0.129	248.310	E:\RCA_In\Oct17_Dec3_2018\67674121\67674121.181018013806.wav	67674121.181018013806.wav	fish	knock	
144	Spectrogram 1	1	248.941808549	249.061882274	22.9	38.1	431.4	0.120	248.942	E:\RCA_In\Oct17_Dec3_2018\67674121\67674121.181018013806.wav	67674121.181018013806.wav	fish	knock	
145	Spectrogram 1	1	249.495994971	249.634541577	29.4	38.1	428.1	0.139	249.496	E:\RCA_In\Oct17_Dec3_2018\67674121\67674121.181018013806.wav	67674121.181018013806.wav	fish	knock	
146	Spectrogram 1	1	249.837743265	249.967053430	32.7	35.2	277.8	0.129	249.838	E:\RCA_In\Oct17_Dec3_2018\67674121\67674121.181018013806.wav	67674121.181018013806.wav	fish	knock	
147	Spectrogram 1	1	250.345747486	250.475057651	26.1	29.3	366.0	0.129	250.346	E:\RCA_In\Oct17_Dec3_2018\67674121\67674121.181018013806.wav	67674121.181018013806.wav	fish	knock	
148	Spectrogram 1	1	250.816805945	250.927643229	29.4	32.2	303.9	0.111	250.817	E:\RCA_In\Oct17_Dec3_2018\67674121\67674121.181018013806.wav	67674121.181018013806.wav	fish	knock	
149	Spectrogram 1	1	251.269391523	251.407938129	22.9	26.4	379.1	0.139	251.269	E:\RCA_In\Oct17_Dec3_2018\67674121\67674121.181018013806.wav	67674121.181018013806.wav	fish	knock	
150	Spectrogram 1	1	251.721977101	251.860523707	29.4	38.1	277.8	0.139	251.722	E:\RCA_In\Oct17_Dec3_2018\67674121\67674121.181018013806.wav	67674121.181018013806.wav	fish	grunt	
151	Spectrogram 1	1	254.003377874	254.188106681	22.9	26.4	169.9	0.185	254.003	E:\RCA_In\Oct17_Dec3_2018\67674121\67674121.181018013806.wav	67674121.181018013806.wav	fish	grunt	
152	Spectrogram 1	1	259.055710758	259.240439565	29.4	35.2	300.7	0.185	259.056	E:\RCA_In\Oct17_Dec3_2018\67674121\67674121.181018013806.wav	67674121.181018013806.wav	fish	grunt	
153	Spectrogram 1	1	260.422703933	260.570486979	32.7	35.2	281.0	0.148	260.423	E:\RCA_In\Oct17_Dec3_2018\67674121\67674121.181018013806.wav	67674121.181018013806.wav	fish?	knock	
154	Spectrogram 1	1	263.751534752	263.871608477	22.9	23.4	421.6	0.120	263.752	E:\RCA_In\Oct17_Dec3_2018\67674121\67674121.181018013806.wav	67674121.181018013806.wav	fish	knock	
155	Spectrogram 1	1	264.231829652	264.361139817	26.1	29.3	454.2	0.129	264.232	E:\RCA_In\Oct17_Dec3_2018\67674121\67674121.181018013806.wav	67674121.181018013806.wav	fish	knock	
156	Spectrogram 1	1	264.933799120	265.072345726	29.4	35.2	444.4	0.139	264.934	E:\RCA_In\Oct17_Dec3_2018\67674121\67674121.181018013806.wav	67674121.181018013806.wav	fish	knock	
157	Spectrogram 1	1	266.642540589	266.781087195	26.1	38.1	402.0	0.139	266.643	E:\RCA_In\Oct17_Dec3_2018\67674121\67674121.181018013806.wav	67674121.181018013806.wav	fish	knock	
158	Spectrogram 1	1	267.076653287	267.196727011	29.4	35.2	402.0	0.120	267.077	E:\RCA_In\Oct17_Dec3_2018\67674121\67674121.181018013806.wav	67674121.181018013806.wav	fish	knock	
159	Spectrogram 1	1	267.760149874	267.880223599	22.9	26.4	402.0	0.120	267.760	E:\RCA_In\Oct17_Dec3_2018\67674121\67674121.181018013806.wav	67674121.181018013806.wav	fish	knock	
160	Spectrogram 1	1	268.526774425	268.656084591	29.4	38.1	392.2	0.129	268.527	E:\RCA_In\Oct17_Dec3_2018\67674121\67674121.181018013806.wav	67674121.181018013806.wav	fish	knock	
161	Spectrogram 1	1	268.111134608	268.231208333	26.1	26.4	173.2	0.120	268.111	E:\RCA_In\Oct17_Dec3_2018\67674121\67674121.181018013806.wav	67674121.181018013806.wav	fish	grunt	
162	Spectrogram 1	1	268.951650682	269.071724407	29.4	38.1	333.3	0.120	268.952	E:\RCA_In\Oct17_Dec3_2018\67674121\67674121.181018013806.wav	67674121.181018013806.wav	fish	knock	
163	Spectrogram 1	1	269.422709142	269.561255747	26.1	29.3	303.9	0.139	269.423	E:\RCA_In\Oct17_Dec3_2018\67674121\67674121.181018013806.wav	67674121.181018013806.wav	fish	knock	
164	Spectrogram 1	1	274.561882274	274.959049210	29.4	87.9	398.7	0.397	274.562	E:\RCA_In\Oct17_Dec3_2018\67674121\67674121.181018013806.wav	67674121.181018013806.wav	fish	grunt	
165	Spectrogram 1	1	275.540944953	276.196732220	22.9	190.4	421.6	0.656	275.541	E:\RCA_In\Oct17_Dec3_2018\67674121\67674121.181018013806.wav	67674121.181018013806.wav	fish	knock-grunt	
166	Spectrogram 1	1	278.219512662	278.385768588	26.1	99.6	261.4	0.166	278.220	E:\RCA_In\Oct17_Dec3_2018\67674121\67674121.181018013806.wav	67674121.181018013806.wav	fish	knock-grunt	
167	Spectrogram 1	1	278.616679598	278.921482130	22.9	26.4	303.9	0.305	278.617	E:\RCA_In\Oct17_Dec3_2018\67674121\67674121.181018013806.wav	67674121.181018013806.wav	fish	knock-grunt	
168	Spectrogram 1	1	279.207811782	279.392540589	29.4	35.2	143.8	0.185	279.208	E:\RCA_In\Oct17_Dec3_2018\67674121\67674121.181018013806.wav	67674121.181018013806.wav	fish	grunt	
169	Spectrogram 1	1	279.420249910	279.577269397	19.6	20.5	281.0	0.157	279.420	E:\RCA_In\Oct17_Dec3_2018\67674121\67674121.181018013806.wav	67674121.181018013806.wav	fish	knock	
170	Spectrogram 1	1	280.233056663	280.427021911	26.1	26.4	137.3	0.194	280.233	E:\RCA_In\Oct17_Dec3_2018\67674121\67674121.181018013806.wav	67674121.181018013806.wav	fish	grunt	
171	Spectrogram 1	1	280.824188847	280.981208333	29.4	35.2	689.5	0.157	280.824	E:\RCA_In\Oct17_Dec3_2018\67674121\67674121.181018013806.wav	67674121.181018013806.wav	fish	knock	
172	Spectrogram 1	1	281.350665948	281.498448994	26.1	26.4	683.0	0.148	281.351	E:\RCA_In\Oct17_Dec3_2018\67674121\67674121.181018013806.wav	67674121.181018013806.wav	fish	knock	
173	Spectrogram 1	1	282.523693876	282.671476922	19.6	20.5	212.4	0.148	282.524	E:\RCA_In\Oct17_Dec3_2018\67674121\67674121.181018013806.wav	67674121.181018013806.wav	fish	grunt	
174	Spectrogram 1	1	282.902387931	283.022461656	32.7	38.1	189.5	0.120	282.902	E:\RCA_In\Oct17_Dec3_2018\67674121\67674121.181018013806.wav	67674121.181018013806.wav	fish	grunt	
175	Spectrogram 1	1	285.146842942	285.285389547	29.4	38.1	418.3	0.139	285.147	E:\RCA_In\Oct17_Dec3_2018\67674121\67674121.181018013806.wav	67674121.181018013806.wav	fish	knock	
176	Spectrogram 1	1	285.645610722	285.784157328	32.7	35.2	415.0	0.139	285.646	E:\RCA_In\Oct17_Dec3_2018\67674121\67674121.181018013806.wav	67674121.181018013806.wav	fish	knock	
177	Spectrogram 1	1	285.839575970	285.996595456	29.4	38.1	415.0	0.157	285.840	E:\RCA_In\Oct17_Dec3_2018\67674121\67674121.181018013806.wav	67674121.181018013806.wav	fish	knock	
178	Spectrogram 1	1	286.462129759	286.591439925	19.6	20.5	320.3	0.129	286.462	E:\RCA_In\Oct17_Dec3_2018\67674121\67674121.181018013806.wav	67674121.181018013806.wav	fish	knock	
179	Spectrogram 1	1	287.413483118	287.819886494	42.5	79.1	212.4	0.406	287.413	E:\RCA_In\Oct17_Dec3_2018\67674121\67674121.181018013806.wav	67674121.181018013806.wav	fish	grunt	
180	Spectrogram 1	1	290.637000808	290.886384698	29.4	38.1	212.4	0.249	290.637	E:\RCA_In\Oct17_Dec3_2018\67674121\67674121.181018013806.wav	67674121.181018013806.wav	fish?	grunt	
181	Spectrogram 1	1	295.384531160	295.550787087	32.7	38.1	333.3	0.166	295.385	E:\RCA_In\Oct17_Dec3_2018\67674121\67674121.181018013806.wav	67674121.181018013806.wav	fish	knock	
182	Spectrogram 1	1	296.012609106	296.178865032	32.7	38.1	300.7	0.166	296.013	E:\RCA_In\Oct17_Dec3_2018\67674121\67674121.181018013806.wav	67674121.181018013806.wav	fish	knock	
183	Spectrogram 1	1	300.422103448	300.634541577	19.6	20.5	287.6	0.212	300.422	E:\RCA_In\Oct17_Dec3_2018\67674121\67674121.181018013806.wav	67674121.181018013806.wav	fish	grunt	
184	Spectrogram 1	1	300.653014458	300.791561063	16.3	20.5	284.3	0.139	300.653	E:\RCA_In\Oct17_Dec3_2018\67674121\67674121.181018013806.wav	67674121.181018013806.wav	fish	knock	
185	Spectrogram 1	1	306.157932920	306.647464260	26.1	85.0	300.7	0.490	306.158	E:\RCA_In\Oct17_Dec3_2018\67674121\67674121.181018013806.wav	67674121.181018013806.wav	fish	grunt	
186	Spectrogram 1	1	310.637606501	311.062482759	22.9	29.3	330.1	0.425	310.638	E:\RCA_In\Oct17_Dec3_2018\67674121\67674121.181018013806.wav	67674121.181018013806.wav	fish	grunt	
187	Spectrogram 1	1	313.560033944	313.920255119	22.9	38.1	307.2	0.360	313.560	E:\RCA_In\Oct17_Dec3_2018\67674121\67674121.181018013806.wav	67674121.181018013806.wav	fish	grunt	
188	Spectrogram 1	1	318.418401580	318.603130388	29.4	38.1	287.6	0.185	318.418	E:\RCA_In\Oct17_Dec3_2018\67674121\67674121.181018013806.wav	67674121.181018013806.wav	fish	grunt	
189	Spectrogram 1	1	318.778622755	318.935642241	22.9	38.1	192.8	0.157	318.779	E:\RCA_In\Oct17_Dec3_2018\67674121\67674121.181018013806.wav	67674121.181018013806.wav	fish	grunt	
190	Spectrogram 1	1	319.628375269	319.868522719	22.9	29.3	254.9	0.240	319.628	E:\RCA_In\Oct17_Dec3_2018\67674121\67674121.181018013806.wav	67674121.181018013806.wav	fish	grunt	
191	Spectrogram 1	1	320.986132004	321.161624371	19.6	20.5	352.9	0.175	320.986	E:\RCA_In\Oct17_Dec3_2018\67674121\67674121.181018013806.wav	67674121.181018013806.wav	fish	grunt	
192	Spectrogram 1	1	322.002140445	322.196105693	19.6	20.5	408.5	0.194	322.002	E:\RCA_In\Oct17_Dec3_2018\67674121\67674121.181018013806.wav	67674121.181018013806.wav	fish	knock-grunt	
193	Spectrogram 1	1	322.325415858	322.510144666	32.7	164.1	326.8	0.185	322.325	E:\RCA_In\Oct17_Dec3_2018\67674121\67674121.181018013806.wav	67674121.181018013806.wav	fish	grunt	
194	Spectrogram 1	1	322.898075162	323.128986171	29.4	175.8	352.9	0.231	322.898	E:\RCA_In\Oct17_Dec3_2018\67674121\67674121.181018013806.wav	67674121.181018013806.wav	fish	grunt	
195	Spectrogram 1	1	324.071103089	324.246595456	26.1	29.3	326.8	0.175	324.071	E:\RCA_In\Oct17_Dec3_2018\67674121\67674121.181018013806.wav	67674121.181018013806.wav	fish	knock	
196	Spectrogram 1	1	332.470739673	332.701650682	32.7	90.8	209.2	0.231	332.471	E:\RCA_In\Oct17_Dec3_2018\67674121\67674121.181018013806.wav	67674121.181018013806.wav	fish	grunt	
197	Spectrogram 1	1	332.803251527	333.006453215	32.7	35.2	199.3	0.203	332.803	E:\RCA_In\Oct17_Dec3_2018\67674121\67674121.181018013806.wav	67674121.181018013806.wav	fish	grunt	
198	Spectrogram 1	1	333.375910830	333.597585399	22.9	35.2	189.5	0.222	333.376	E:\RCA_In\Oct17_Dec3_2018\67674121\67674121.181018013806.wav	67674121.181018013806.wav	fish	grunt	
199	Spectrogram 1	1	342.024931304	342.191187231	22.9	90.8	307.2	0.166	342.025	E:\RCA_In\Oct17_Dec3_2018\67674121\67674121.181018013806.wav	67674121.181018013806.wav	fish	grunt	
200	Spectrogram 1	1	356.945494792	357.111750718	29.4	35.2	248.4	0.166	356.945	E:\RCA_In\Oct17_Dec3_2018\67674121\67674121.181018013806.wav	67674121.181018013806.wav	fish	grunt	
201	Spectrogram 1	1	360.104357399	360.446105693	29.4	79.1	431.4	0.342	360.104	E:\RCA_In\Oct17_Dec3_2018\67674121\67674121.181018013806.wav	67674121.181018013806.wav	fish	grunt	
202	Spectrogram 1	1	361.286621767	361.591424300	16.3	20.5	451.0	0.305	361.287	E:\RCA_In\Oct17_Dec3_2018\67674121\67674121.181018013806.wav	67674121.181018013806.wav	fish	knock	two
203	Spectrogram 1	1	361.711498024	361.850044630	16.3	20.5	418.3	0.139	361.711	E:\RCA_In\Oct17_Dec3_2018\67674121\67674121.181018013806.wav	67674121.181018013806.wav	fish	knock	
204	Spectrogram 1	1	362.080955639	362.219502245	16.3	20.5	372.5	0.139	362.081	E:\RCA_In\Oct17_Dec3_2018\67674121\67674121.181018013806.wav	67674121.181018013806.wav	fish	knock	
205	Spectrogram 1	1	362.967653915	363.078491200	26.1	35.2	415.0	0.111	362.968	E:\RCA_In\Oct17_Dec3_2018\67674121\67674121.181018013806.wav	67674121.181018013806.wav	fish	knock	
206	Spectrogram 1	1	366.010155083	366.351903376	26.1	35.2	179.7	0.342	366.010	E:\RCA_In\Oct17_Dec3_2018\67674121\67674121.181018013806.wav	67674121.181018013806.wav	fish	grunt	
207	Spectrogram 1	1	367.414094019	367.580349946	26.1	38.1	395.4	0.166	367.414	E:\RCA_In\Oct17_Dec3_2018\67674121\67674121.181018013806.wav	67674121.181018013806.wav	fish	knock	
208	Spectrogram 1	1	371.330344738	371.561255747	32.7	38.1	274.5	0.231	371.330	E:\RCA_In\Oct17_Dec3_2018\67674121\67674121.181018013806.wav	67674121.181018013806.wav	fish	grunt	
209	Spectrogram 1	1	371.662856591	371.884531160	35.9	38.1	166.7	0.222	371.663	E:\RCA_In\Oct17_Dec3_2018\67674121\67674121.181018013806.wav	67674121.181018013806.wav	fish	grunt	
210	Spectrogram 1	1	372.023077766	372.438717583	26.1	29.3	225.5	0.416	372.023	E:\RCA_In\Oct17_Dec3_2018\67674121\67674121.181018013806.wav	67674121.181018013806.wav	fish	grunt	
211	Spectrogram 1	1	381.761998204	381.946727011	19.6	20.5	111.1	0.185	381.762	E:\RCA_In\Oct17_Dec3_2018\67674121\67674121.181018013806.wav	67674121.181018013806.wav	fish	grunt	
212	Spectrogram 1	1	393.606827047	393.994757543	29.4	90.8	310.5	0.388	393.607	E:\RCA_In\Oct17_Dec3_2018\67674121\67674121.181018013806.wav	67674121.181018013806.wav	fish	grunt	
213	Spectrogram 1	1	399.084036189	399.370365841	32.7	38.1	274.5	0.286	399.084	E:\RCA_In\Oct17_Dec3_2018\67674121\67674121.181018013806.wav	67674121.181018013806.wav	fish	grunt	
214	Spectrogram 1	1	399.425784483	399.573567529	39.2	164.1	186.3	0.148	399.426	E:\RCA_In\Oct17_Dec3_2018\67674121\67674121.181018013806.wav	67674121.181018013806.wav	fish	grunt	
215	Spectrogram 1	1	404.481829652	404.731213542	29.4	35.2	176.5	0.249	404.482	E:\RCA_In\Oct17_Dec3_2018\67674121\67674121.181018013806.wav	67674121.181018013806.wav	fish	grunt	
216	Spectrogram 1	1	409.441798132	409.672709142	32.7	35.2	303.9	0.231	409.442	E:\RCA_In\Oct17_Dec3_2018\67674121\67674121.181018013806.wav	67674121.181018013806.wav	fish	grunt	
217	Spectrogram 1	1	411.815563308	412.000292116	26.1	29.3	127.5	0.185	411.816	E:\RCA_In\Oct17_Dec3_2018\67674121\67674121.181018013806.wav	67674121.181018013806.wav	fish	grunt	
218	Spectrogram 1	1	419.771850754	419.891924479	19.6	20.5	124.2	0.120	419.772	E:\RCA_In\Oct17_Dec3_2018\67674121\67674121.181018013806.wav	67674121.181018013806.wav	fish	grunt	
219	Spectrogram 1	1	427.663483118	427.857448366	32.7	35.2	238.6	0.194	427.663	E:\RCA_In\Oct17_Dec3_2018\67674121\67674121.181018013806.wav	67674121.181018013806.wav	fish	grunt	
220	Spectrogram 1	1	430.563725395	430.766927083	29.4	38.1	173.2	0.203	430.564	E:\RCA_In\Oct17_Dec3_2018\67674121\67674121.181018013806.wav	67674121.181018013806.wav	fish	grunt	
221	Spectrogram 1	1	431.986137213	432.143156699	29.4	38.1	300.7	0.157	431.986	E:\RCA_In\Oct17_Dec3_2018\67674121\67674121.181018013806.wav	67674121.181018013806.wav	fish	grunt-knock	
222	Spectrogram 1	1	432.253993983	432.392540589	32.7	35.2	284.3	0.139	432.254	E:\RCA_In\Oct17_Dec3_2018\67674121\67674121.181018013806.wav	67674121.181018013806.wav	fish	grunt-knock	
223	Spectrogram 1	1	432.484904993	432.623451598	29.4	35.2	294.1	0.139	432.485	E:\RCA_In\Oct17_Dec3_2018\67674121\67674121.181018013806.wav	67674121.181018013806.wav	fish	grunt-knock	
224	Spectrogram 1	1	432.752761764	432.863599048	22.9	35.2	238.6	0.111	432.753	E:\RCA_In\Oct17_Dec3_2018\67674121\67674121.181018013806.wav	67674121.181018013806.wav	fish	grunt-knock	
225	Spectrogram 1	1	432.965199892	433.112982938	16.3	20.5	284.3	0.148	432.965	E:\RCA_In\Oct17_Dec3_2018\67674121\67674121.181018013806.wav	67674121.181018013806.wav	fish	grunt-knock	
226	Spectrogram 1	1	433.279238865	433.408549030	26.1	38.1	225.5	0.129	433.279	E:\RCA_In\Oct17_Dec3_2018\67674121\67674121.181018013806.wav	67674121.181018013806.wav	fish	knock	
227	Spectrogram 1	1	433.510149874	434.636995600	19.6	70.3	451.0	1.127	433.510	E:\RCA_In\Oct17_Dec3_2018\67674121\67674121.181018013806.wav	67674121.181018013806.wav	fish	grunt	
228	Spectrogram 1	1	434.701650682	435.098817619	22.9	35.2	173.2	0.397	434.702	E:\RCA_In\Oct17_Dec3_2018\67674121\67674121.181018013806.wav	67674121.181018013806.wav	fish	grumble	
229	Spectrogram 1	1	435.135763380	435.274309986	22.9	29.3	444.4	0.139	435.136	E:\RCA_In\Oct17_Dec3_2018\67674121\67674121.181018013806.wav	67674121.181018013806.wav	fish	knock	
230	Spectrogram 1	1	435.348201509	435.505220995	26.1	29.3	457.5	0.157	435.348	E:\RCA_In\Oct17_Dec3_2018\67674121\67674121.181018013806.wav	67674121.181018013806.wav	fish	knock	
231	Spectrogram 1	1	435.699186243	435.856205729	26.1	35.2	454.2	0.157	435.699	E:\RCA_In\Oct17_Dec3_2018\67674121\67674121.181018013806.wav	67674121.181018013806.wav	fish	knock	
232	Spectrogram 1	1	437.934404813	438.119133621	13.1	14.6	287.6	0.185	437.934	E:\RCA_In\Oct17_Dec3_2018\67674121\67674121.181018013806.wav	67674121.181018013806.wav	fish	knock	
233	Spectrogram 1	1	438.423936153	438.599428520	29.4	38.1	156.9	0.175	438.424	E:\RCA_In\Oct17_Dec3_2018\67674121\67674121.181018013806.wav	67674121.181018013806.wav	fish	grunt	
234	Spectrogram 1	1	439.005831897	439.181324264	32.7	38.1	202.6	0.175	439.006	E:\RCA_In\Oct17_Dec3_2018\67674121\67674121.181018013806.wav	67674121.181018013806.wav	fish	knock	
235	Spectrogram 1	1	439.421471713	439.578491200	26.1	29.3	192.8	0.157	439.421	E:\RCA_In\Oct17_Dec3_2018\67674121\67674121.181018013806.wav	67674121.181018013806.wav	fish	knock	
237	Spectrogram 1	1	449.169628592	449.437485363	26.1	29.3	411.8	0.268	449.170	E:\RCA_In\Oct17_Dec3_2018\67674121\67674121.181018013806.wav	67674121.181018013806.wav	fish	knock	double
238	Spectrogram 1	1	451.358664960	451.487975126	32.7	38.1	362.7	0.129	451.359	E:\RCA_In\Oct17_Dec3_2018\67674121\67674121.181018013806.wav	67674121.181018013806.wav	fish	knock	
239	Spectrogram 1	1	452.069870869	452.236126796	29.4	35.2	395.4	0.166	452.070	E:\RCA_In\Oct17_Dec3_2018\67674121\67674121.181018013806.wav	67674121.181018013806.wav	fish	knock	
240	Spectrogram 1	1	452.254599677	452.402382723	19.6	20.5	395.4	0.148	452.255	E:\RCA_In\Oct17_Dec3_2018\67674121\67674121.181018013806.wav	67674121.181018013806.wav	fish	knock	
241	Spectrogram 1	1	453.477522091	453.597595815	19.6	20.5	408.5	0.120	453.478	E:\RCA_In\Oct17_Dec3_2018\67674121\67674121.181018013806.wav	67674121.181018013806.wav	fish	knock	
242	Spectrogram 1	1	457.938722791	458.068032956	22.9	29.3	366.0	0.129	457.939	E:\RCA_In\Oct17_Dec3_2018\67674121\67674121.181018013806.wav	67674121.181018013806.wav	fish	knock	
243	Spectrogram 1	1	458.151160920	458.298943966	26.1	29.3	359.5	0.148	458.151	E:\RCA_In\Oct17_Dec3_2018\67674121\67674121.181018013806.wav	67674121.181018013806.wav	fish	knock	
244	Spectrogram 1	1	458.751529544	458.982440553	32.7	35.2	212.4	0.231	458.752	E:\RCA_In\Oct17_Dec3_2018\67674121\67674121.181018013806.wav	67674121.181018013806.wav	fish	grunt	
245	Spectrogram 1	1	469.977516882	470.134536369	26.1	35.2	362.7	0.157	469.978	E:\RCA_In\Oct17_Dec3_2018\67674121\67674121.181018013806.wav	67674121.181018013806.wav	fish	knock	
246	Spectrogram 1	1	471.409165140	471.630839709	26.1	35.2	134.0	0.222	471.409	E:\RCA_In\Oct17_Dec3_2018\67674121\67674121.181018013806.wav	67674121.181018013806.wav	fish	grunt	
247	Spectrogram 1	1	474.133915050	474.327880298	19.6	20.5	176.5	0.194	474.134	E:\RCA_In\Oct17_Dec3_2018\67674121\67674121.181018013806.wav	67674121.181018013806.wav	fish	grunt	
248	Spectrogram 1	1	476.433788703	477.218886135	19.6	20.5	382.4	0.785	476.434	E:\RCA_In\Oct17_Dec3_2018\67674121\67674121.181018013806.wav	67674121.181018013806.wav	fish	knock	series
249	Spectrogram 1	1	477.459033585	477.652998833	22.9	35.2	382.4	0.194	477.459	E:\RCA_In\Oct17_Dec3_2018\67674121\67674121.181018013806.wav	67674121.181018013806.wav	fish	knock	
250	Spectrogram 1	1	478.321734824	478.469517870	19.6	20.5	313.7	0.148	478.322	E:\RCA_In\Oct17_Dec3_2018\67674121\67674121.181018013806.wav	67674121.181018013806.wav	fish	knock	
251	Spectrogram 1	1	478.571118714	478.746611081	19.6	20.5	137.3	0.175	478.571	E:\RCA_In\Oct17_Dec3_2018\67674121\67674121.181018013806.wav	67674121.181018013806.wav	fish	grunt	
252	Spectrogram 1	1	482.154857579	482.265694864	16.3	20.5	310.5	0.111	482.155	E:\RCA_In\Oct17_Dec3_2018\67674121\67674121.181018013806.wav	67674121.181018013806.wav	fish	knock	
253	Spectrogram 1	1	482.533551634	482.662861800	26.1	26.4	300.7	0.129	482.534	E:\RCA_In\Oct17_Dec3_2018\67674121\67674121.181018013806.wav	67674121.181018013806.wav	fish	knock	
254	Spectrogram 1	1	482.736753323	482.856827047	29.4	38.1	303.9	0.120	482.737	E:\RCA_In\Oct17_Dec3_2018\67674121\67674121.181018013806.wav	67674121.181018013806.wav	fish	knock	
255	Spectrogram 1	1	482.958427892	483.106210938	26.1	29.3	297.4	0.148	482.958	E:\RCA_In\Oct17_Dec3_2018\67674121\67674121.181018013806.wav	67674121.181018013806.wav	fish	knock	
256	Spectrogram 1	1	487.308791307	487.493520115	19.6	20.5	451.0	0.185	487.309	E:\RCA_In\Oct17_Dec3_2018\67674121\67674121.181018013806.wav	67674121.181018013806.wav	fish	knock-grunt	
257	Spectrogram 1	1	490.042777658	490.218270025	26.1	38.1	163.4	0.175	490.043	E:\RCA_In\Oct17_Dec3_2018\67674121\67674121.181018013806.wav	67674121.181018013806.wav	fish	grunt	
258	Spectrogram 1	1	490.412235273	490.670855603	29.4	38.1	163.4	0.259	490.412	E:\RCA_In\Oct17_Dec3_2018\67674121\67674121.181018013806.wav	67674121.181018013806.wav	fish	grunt	
259	Spectrogram 1	1	492.383309357	492.725057651	26.1	35.2	160.1	0.342	492.383	E:\RCA_In\Oct17_Dec3_2018\67674121\67674121.181018013806.wav	67674121.181018013806.wav	fish	grunt	
260	Spectrogram 1	1	495.255842313	495.412861800	26.1	29.3	140.5	0.157	495.256	E:\RCA_In\Oct17_Dec3_2018\67674121\67674121.181018013806.wav	67674121.181018013806.wav	fish	grunt	
261	Spectrogram 1	1	496.336505837	496.511998204	22.9	35.2	143.8	0.175	496.337	E:\RCA_In\Oct17_Dec3_2018\67674121\67674121.181018013806.wav	67674121.181018013806.wav	fish	grunt	
262	Spectrogram 1	1	497.648080370	497.962119343	26.1	96.7	415.0	0.314	497.648	E:\RCA_In\Oct17_Dec3_2018\67674121\67674121.181018013806.wav	67674121.181018013806.wav	fish	grunt	
263	Spectrogram 1	1	498.737980334	499.042782866	35.9	38.1	232.0	0.305	498.738	E:\RCA_In\Oct17_Dec3_2018\67674121\67674121.181018013806.wav	67674121.181018013806.wav	fish	grunt	
264	Spectrogram 1	1	500.261992996	500.492904005	32.7	38.1	205.9	0.231	500.262	E:\RCA_In\Oct17_Dec3_2018\67674121\67674121.181018013806.wav	67674121.181018013806.wav	fish	grunt	
265	Spectrogram 1	1	500.576031968	500.816179418	29.4	38.1	202.6	0.240	500.576	E:\RCA_In\Oct17_Dec3_2018\67674121\67674121.181018013806.wav	67674121.181018013806.wav	fish	grunt	
266	Spectrogram 1	1	501.970734465	502.183172593	26.1	29.3	209.2	0.212	501.971	E:\RCA_In\Oct17_Dec3_2018\67674121\67674121.181018013806.wav	67674121.181018013806.wav	fish	grunt	
267	Spectrogram 1	1	502.811250539	503.060634429	22.9	26.4	196.1	0.249	502.811	E:\RCA_In\Oct17_Dec3_2018\67674121\67674121.181018013806.wav	67674121.181018013806.wav	fish	grunt	
268	Spectrogram 1	1	503.692424659	503.840207705	16.3	20.5	529.4	0.148	503.692	E:\RCA_In\Oct17_Dec3_2018\67674121\67674121.181018013806.wav	67674121.181018013806.wav	fish	knock	
269	Spectrogram 1	1	504.071118714	504.930107669	22.9	67.4	434.6	0.859	504.071	E:\RCA_In\Oct17_Dec3_2018\67674121\67674121.181018013806.wav	67674121.181018013806.wav	fish	grunt	
270	Spectrogram 1	1	504.985526311	505.114836476	22.9	35.2	467.3	0.129	504.986	E:\RCA_In\Oct17_Dec3_2018\67674121\67674121.181018013806.wav	67674121.181018013806.wav	fish	knock	
271	Spectrogram 1	1	505.216437320	505.354983926	19.6	20.5	451.0	0.139	505.216	E:\RCA_In\Oct17_Dec3_2018\67674121\67674121.181018013806.wav	67674121.181018013806.wav	fish	knock	
